ID,outDate,inDate,type
643,31/08/2017,08/09/2017,Beer
645,01/09/2017,07/09/2017,Beer
646,29/08/2017,05/09/2017,Beer
647,26/08/2017,02/09/2017,Beer
649,29/08/2017,06/09/2017,Beer
653,25/08/2017,01/09/2017,Beer
658,26/08/2017,02/09/2017,Beer
659,25/08/2017,01/09/2017,Beer
660,26/08/2017,08/09/2017,Beer
668,01/09/2017,08/09/2017,Orange
670,30/08/2017,06/09/2017,Beer
671,29/08/2017,05/09/2017,Beer
672,01/09/2017,08/09/2017,Orange
673,26/08/2017,08/09/2017,Orange
674,26/08/2017,08/09/2017,Orange
675,26/08/2017,08/09/2017,Orange
676,26/08/2017,08/09/2017,Orange
679,27/08/2017,03/09/2017,Beer
688,25/08/2017,01/09/2017,Beer
691,30/08/2017,06/09/2017,Orange
692,27/08/2017,03/09/2017,Beer
704,28/08/2017,04/09/2017,Beer
710,27/08/2017,03/09/2017,Beer
714,28/08/2017,04/09/2017,Beer
716,30/08/2017,06/09/2017,Beer
718,27/08/2017,03/09/2017,Beer
719,31/08/2017,07/09/2017,Orange
720,27/08/2017,03/09/2017,Beer
725,25/08/2017,01/09/2017,Beer
726,28/08/2017,04/09/2017,Beer
728,27/08/2017,02/09/2017,Beer
731,25/08/2017,01/09/2017,Beer
733,30/08/2017,06/09/2017,Beer
734,27/08/2017,03/09/2017,Beer
736,27/08/2017,02/09/2017,Beer
737,25/08/2017,01/09/2017,Beer
738,25/08/2017,01/09/2017,Beer
739,25/08/2017,01/09/2017,Beer
740,25/08/2017,01/09/2017,Beer
742,25/08/2017,01/09/2017,Beer
745,27/08/2017,03/09/2017,Beer
747,27/08/2017,03/09/2017,Beer
750,28/08/2017,04/09/2017,Beer
752,25/08/2017,01/09/2017,Beer
755,25/08/2017,01/09/2017,Beer
762,30/08/2017,06/09/2017,Beer
764,29/08/2017,05/09/2017,Orange
767,25/08/2017,01/09/2017,Beer
768,25/08/2017,01/09/2017,Beer
770,25/08/2017,01/09/2017,Beer
771,01/09/2017,08/09/2017,Beer
772,01/09/2017,08/09/2017,Beer
775,25/08/2017,01/09/2017,Orange
778,26/08/2017,02/09/2017,Beer
779,25/08/2017,01/09/2017,Beer
781,27/08/2017,03/09/2017,Beer
782,01/09/2017,08/09/2017,Beer
784,29/08/2017,05/09/2017,Beer
786,25/08/2017,01/09/2017,Beer
788,25/08/2017,01/09/2017,Beer
790,27/08/2017,03/09/2017,Beer
794,25/08/2017,01/09/2017,Beer
797,01/09/2017,07/09/2017,Beer
798,25/08/2017,01/09/2017,Beer
800,27/08/2017,03/09/2017,Orange
801,28/08/2017,04/09/2017,Orange
802,25/08/2017,07/09/2017,Beer
803,25/08/2017,01/09/2017,Beer
805,25/08/2017,01/09/2017,Beer
807,26/08/2017,04/09/2017,Beer
808,25/08/2017,01/09/2017,Orange
809,25/08/2017,01/09/2017,Beer
810,30/08/2017,06/09/2017,Orange
812,27/08/2017,03/09/2017,Beer
815,25/08/2017,01/09/2017,Beer
816,25/08/2017,01/09/2017,Beer
818,01/09/2017,08/09/2017,Beer
819,25/08/2017,01/09/2017,Beer
821,25/08/2017,01/09/2017,Beer
822,26/08/2017,02/09/2017,Beer
824,25/08/2017,08/09/2017,Orange
825,30/08/2017,06/09/2017,Orange
826,01/09/2017,08/09/2017,Orange
828,28/08/2017,04/09/2017,Orange
830,25/08/2017,01/09/2017,Beer
837,26/08/2017,02/09/2017,Beer
838,27/08/2017,03/09/2017,Orange
842,25/08/2017,01/09/2017,Orange
844,27/08/2017,03/09/2017,Beer
845,25/08/2017,01/09/2017,Orange
851,25/08/2017,01/09/2017,Beer
854,28/08/2017,04/09/2017,Beer
855,01/09/2017,07/09/2017,Orange
858,28/08/2017,04/09/2017,Beer
865,26/08/2017,02/09/2017,Beer
866,25/08/2017,01/09/2017,Orange
873,29/08/2017,05/09/2017,Beer
875,01/09/2017,07/09/2017,Beer
879,29/08/2017,05/09/2017,Beer
880,29/08/2017,05/09/2017,Beer
882,01/09/2017,08/09/2017,Beer
884,29/08/2017,05/09/2017,Beer
889,25/08/2017,01/09/2017,Orange
891,30/08/2017,06/09/2017,Beer
892,25/08/2017,01/09/2017,Beer
895,27/08/2017,04/09/2017,Beer
896,25/08/2017,01/09/2017,Beer
903,01/09/2017,07/09/2017,Beer
904,01/09/2017,07/09/2017,Beer
905,25/08/2017,01/09/2017,Orange
907,26/08/2017,02/09/2017,Beer
908,30/08/2017,06/09/2017,Beer
910,01/09/2017,08/09/2017,Orange
914,26/08/2017,02/09/2017,Beer
917,25/08/2017,01/09/2017,Beer
918,01/09/2017,08/09/2017,Orange
920,29/08/2017,04/09/2017,Beer
923,26/08/2017,02/09/2017,Beer
925,30/08/2017,05/09/2017,Beer
927,25/08/2017,01/09/2017,Beer
928,27/08/2017,03/09/2017,Beer
929,27/08/2017,02/09/2017,Beer
930,25/08/2017,01/09/2017,Beer
931,30/08/2017,07/09/2017,Orange
933,25/08/2017,01/09/2017,Beer
940,25/08/2017,02/09/2017,Beer
944,28/08/2017,04/09/2017,Orange
945,25/08/2017,01/09/2017,Beer
946,25/08/2017,01/09/2017,Beer
948,28/08/2017,04/09/2017,Orange
951,25/08/2017,01/09/2017,Beer
953,26/08/2017,02/09/2017,Orange
954,31/08/2017,06/09/2017,Beer
955,25/08/2017,01/09/2017,Beer
957,25/08/2017,01/09/2017,Beer
960,25/08/2017,01/09/2017,Beer
967,27/08/2017,03/09/2017,Beer
968,25/08/2017,01/09/2017,Beer
969,26/08/2017,02/09/2017,Beer
974,27/08/2017,03/09/2017,Beer
976,27/08/2017,03/09/2017,Orange
980,26/08/2017,03/09/2017,Beer
982,25/08/2017,01/09/2017,Beer
984,28/08/2017,04/09/2017,Beer
986,25/08/2017,02/09/2017,Beer
987,25/08/2017,01/09/2017,Orange
988,28/08/2017,05/09/2017,Orange
990,30/08/2017,06/09/2017,Beer
991,25/08/2017,01/09/2017,Beer
993,30/08/2017,06/09/2017,Beer
995,25/08/2017,01/09/2017,Beer
998,29/08/2017,05/09/2017,Beer
1001,28/08/2017,04/09/2017,Beer
1002,27/08/2017,03/09/2017,Beer
1004,29/08/2017,05/09/2017,Beer
1005,25/08/2017,01/09/2017,Beer
1007,25/08/2017,02/09/2017,Beer
1008,01/09/2017,08/09/2017,Orange
1010,01/09/2017,08/09/2017,Orange
1014,29/08/2017,05/09/2017,Beer
1015,25/08/2017,01/09/2017,Beer
1016,25/08/2017,01/09/2017,Beer
1019,01/09/2017,07/09/2017,Beer
1020,25/08/2017,08/09/2017,Beer
1022,26/08/2017,02/09/2017,Beer
1026,01/09/2017,07/09/2017,Orange
1027,01/09/2017,07/09/2017,Beer
1029,26/08/2017,02/09/2017,Beer
1030,25/08/2017,03/09/2017,Beer
1031,30/08/2017,06/09/2017,Orange
